Морковь, Китай, 5 тонн, 7050000 рублей
Сыр, Венгрия, 5 тонн, 1000000 рублей
Сметана, США, 50 тонн, 14850000 рублей
Курица (бедра или окорочка), США, 10 тонн, 1000000 рублей
Стручковая фасоль, Перу, 10 тонн, 500000 рублей
Фрикадельки (домашний полуфабрикат), США, 30 тонн, 7050000 рублей
яблоки, Венгрия, 2 тонны, 14850000 рублей
Консервированная кукуруза, Австралия, 30 тонн, 14850000 рублей
Сметана, Перу, 1 тонна, 12340000 рублей
Котлеты (домашний полуфабрикат), Германия, 15 тонн, 1000000 рублей
Сыр, Германия, 20 тонн, 1250000 рублей
Малиновое варенье, Аргентина, 2 тонны, 1250000 рублей
Консервированный горошек, Аргентина, 20 тонн, 1250000 рублей
Сгущенка, США, 5 тонн, 14850000 рублей
Панировочные сухари, Китай, 50 тонн, 7050000 рублей
яблоки, Австрия, 30 тонн, 1000000 рублей
рыба, Венгрия, 10 тонн, 500000 рублей
Консервированная кукуруза, США, 2 тонны, 14850000 рублей
Сгущенка, Китай, 1 тонна, 500000 рублей
Петрушка, США, 30 тонн, 1000000 рублей
Фрикадельки (домашний полуфабрикат), Австрия, 50 тонн, 7050000 рублей
Сыр, Австралия, 20 тонн, 1250000 рублей
рыба, Китай, 50 тонн, 14850000 рублей
Творог, Австралия, 15 тонн, 1000000 рублей
Петрушка, Аргентина, 2 тонны, 7050000 рублей
Петрушка, Китай, 5 тонн, 12340000 рублей
Кошачий корм, Китай, 1 тонна, 500000 рублей
Молоко детское, Германия, 1 тонна, 500000 рублей
Кошачий корм, Венгрия, 2 тонны, 1250000 рублей
Кефир, Венгрия, 20 тонн, 14850000 рублей
рыба, США, 20 тонн, 12340000 рублей
Кошачий корм, Германия, 15 тонн, 7050000 рублей
Морковь, Австрия, 5 тонн, 7050000 рублей
Картофель, Германия, 2 тонны, 1000000 рублей
Баллончик со сливками, Германия, 10 тонн, 7050000 рублей
Творог, Австралия, 2 тонны, 500000 рублей
Сахар коричневый, Германия, 15 тонн, 7050000 рублей
рыба, США, 20 тонн, 14850000 рублей
Рыбная консерва, Китай, 2 тонны, 7050000 рублей
Молоко детское, США, 50 тонн, 14850000 рублей
Молоко детское, Аргентина, 30 тонн, 14850000 рублей
Курица (бедра или окорочка), Аргентина, 50 тонн, 12340000 рублей
Масло сливочное, Перу, 5 тонн, 500000 рублей
Масло сливочное, Австрия, 5 тонн, 1250000 рублей
Молоко детское, США, 30 тонн, 7050000 рублей
хлеб, США, 10 тонн, 7050000 рублей
Консервированный горошек, Австралия, 50 тонн, 500000 рублей
Сметана, Австралия, 5 тонн, 14850000 рублей
Детское питание 7 банок, Венгрия, 1 тонна, 1250000 рублей
Петрушка, США, 5 тонн, 1250000 рублей
Масло сливочное, Австрия, 10 тонн, 7050000 рублей
Томатная паста, Китай, 50 тонн, 7050000 рублей
Томатная паста, Аргентина, 10 тонн, 1000000 рублей
Сметана, Перу, 20 тонн, 12340000 рублей
Стручковая фасоль, США, 20 тонн, 1250000 рублей
Фрикадельки (домашний полуфабрикат), Германия, 10 тонн, 12340000 рублей
Фрикадельки (домашний полуфабрикат), Австралия, 1 тонна, 12340000 рублей
Рыбная консерва, США, 50 тонн, 14850000 рублей
Масло растительное, Аргентина, 50 тонн, 500000 рублей
Стручковая фасоль, Германия, 50 тонн, 1000000 рублей
груши, Аргентина, 15 тонн, 14850000 рублей
Сыр, Германия, 1 тонна, 7050000 рублей
Чеснок, Германия, 30 тонн, 1000000 рублей
Петрушка, Китай, 15 тонн, 1000000 рублей
Детское питание 7 банок, Германия, 50 тонн, 12340000 рублей
Петрушка, Перу, 20 тонн, 1250000 рублей
масло, Австралия, 15 тонн, 12340000 рублей
Детское питание 7 банок, Китай, 5 тонн, 500000 рублей
Творог, Германия, 1 тонна, 500000 рублей
рыба, Аргентина, 50 тонн, 14850000 рублей
Сахар коричневый, Перу, 20 тонн, 1000000 рублей
шоколад, Китай, 15 тонн, 14850000 рублей
Фрикадельки (домашний полуфабрикат), Аргентина, 2 тонны, 1250000 рублей
Кефир, Аргентина, 15 тонн, 1250000 рублей
масло, Австралия, 1 тонна, 1250000 рублей
Сыр, Австралия, 50 тонн, 14850000 рублей
Картофель, Китай, 5 тонн, 1250000 рублей
Рыбная консерва, Аргентина, 20 тонн, 500000 рублей
Рыбная консерва, Венгрия, 50 тонн, 7050000 рублей
шоколад, Австралия, 15 тонн, 1250000 рублей
Суповой набор куриный, Китай, 10 тонн, 7050000 рублей
Стручковая фасоль, Перу, 10 тонн, 1250000 рублей
Кефир, США, 50 тонн, 500000 рублей
зерно, Австралия, 2 тонны, 500000 рублей
Сыр, Китай, 15 тонн, 1000000 рублей
Морковь, США, 20 тонн, 7050000 рублей
Морковь, Перу, 1 тонна, 1250000 рублей
Баллончик со сливками, Австралия, 1 тонна, 1250000 рублей
Котлеты (домашний полуфабрикат), США, 10 тонн, 1250000 рублей
Кошачий корм, Германия, 15 тонн, 12340000 рублей
хлеб, Австралия, 10 тонн, 14850000 рублей
Кошачий корм, Австрия, 10 тонн, 7050000 рублей
Петрушка, Австралия, 2 тонны, 1000000 рублей
Курица (бедра или окорочка), Перу, 50 тонн, 1250000 рублей
Сметана, Перу, 15 тонн, 14850000 рублей
груши, Аргентина, 50 тонн, 14850000 рублей
Фрикадельки (домашний полуфабрикат), Австрия, 50 тонн, 12340000 рублей
Морковь, Австрия, 50 тонн, 7050000 рублей
яблоки, Венгрия, 30 тонн, 7050000 рублей
яблоки, Перу, 1 тонна, 14850000 рублей
Стручковая фасоль, Китай, 15 тонн, 1000000 рублей
Детское питание 7 банок, Венгрия, 15 тонн, 1000000 рублей
Морковь, США, 5 тонн, 500000 рублей
Сахар коричневый, Австрия, 15 тонн, 1250000 рублей
яблоки, Китай, 1 тонна, 1250000 рублей
Сгущенка, Венгрия, 1 тонна, 14850000 рублей
Сахар коричневый, Германия, 2 тонны, 1250000 рублей
Сметана, Китай, 15 тонн, 12340000 рублей
Чеснок, Аргентина, 2 тонны, 12340000 рублей
Сахар коричневый, Перу, 50 тонн, 1250000 рублей
Петрушка, США, 50 тонн, 1250000 рублей
Сметана, Австрия, 20 тонн, 14850000 рублей
масло, Венгрия, 2 тонны, 14850000 рублей
Масло сливочное, Германия, 10 тонн, 500000 рублей
масло, Австрия, 2 тонны, 14850000 рублей
Петрушка, США, 1 тонна, 500000 рублей
Петрушка, Венгрия, 10 тонн, 1250000 рублей
хлеб, США, 50 тонн, 1000000 рублей
зерно, Китай, 15 тонн, 500000 рублей
Морковь, Германия, 2 тонны, 14850000 рублей
Суповой набор мясной, Австрия, 50 тонн, 7050000 рублей
Чеснок, Австралия, 15 тонн, 12340000 рублей
Масло растительное, Германия, 2 тонны, 12340000 рублей
Томатная паста, США, 50 тонн, 1250000 рублей
Морковь, Перу, 2 тонны, 1000000 рублей
рыба, Венгрия, 5 тонн, 1250000 рублей
Чеснок, Германия, 1 тонна, 7050000 рублей
зерно, Австрия, 15 тонн, 7050000 рублей
Баллончик со сливками, Китай, 50 тонн, 14850000 рублей
Сахар коричневый, Австралия, 1 тонна, 7050000 рублей
Сыр, Австралия, 10 тонн, 1250000 рублей
Консервированная кукуруза, Аргентина, 2 тонны, 1000000 рублей
рыба, Австрия, 15 тонн, 14850000 рублей
Петрушка, Перу, 20 тонн, 1000000 рублей
Картофель, Китай, 30 тонн, 12340000 рублей
Картофель, США, 20 тонн, 12340000 рублей
шоколад, Перу, 10 тонн, 1000000 рублей
Фрикадельки (домашний полуфабрикат), Германия, 30 тонн, 1000000 рублей
Сгущенка, США, 50 тонн, 7050000 рублей
Творог, Австрия, 2 тонны, 12340000 рублей
зерно, Венгрия, 1 тонна, 500000 рублей
Томатная паста, Австралия, 10 тонн, 12340000 рублей
зерно, Австралия, 10 тонн, 500000 рублей
яблоки, Австрия, 2 тонны, 12340000 рублей
Масло растительное, Австрия, 30 тонн, 1000000 рублей
Малиновое варенье, Аргентина, 5 тонн, 14850000 рублей
Баллончик со сливками, Австралия, 2 тонны, 7050000 рублей
Сыр, Германия, 1 тонна, 7050000 рублей
Петрушка, Австралия, 50 тонн, 7050000 рублей
Малиновое варенье, Германия, 50 тонн, 500000 рублей
Сгущенка, Китай, 15 тонн, 1000000 рублей
Кефир, Перу, 20 тонн, 1000000 рублей
Фрикадельки (домашний полуфабрикат), Австралия, 30 тонн, 500000 рублей
Морковь, Перу, 20 тонн, 14850000 рублей
Суповой набор мясной, Китай, 15 тонн, 12340000 рублей
Масло растительное, США, 1 тонна, 1250000 рублей
Молоко детское, Германия, 5 тонн, 1250000 рублей
Сахар коричневый, Аргентина, 5 тонн, 1000000 рублей
Творог, Венгрия, 5 тонн, 1000000 рублей
Консервированная кукуруза, Австралия, 5 тонн, 1250000 рублей
Масло сливочное, Аргентина, 5 тонн, 14850000 рублей
Стручковая фасоль, Китай, 15 тонн, 500000 рублей
Консервированный горошек, Перу, 15 тонн, 14850000 рублей
шоколад, Перу, 30 тонн, 14850000 рублей
рыба, Китай, 50 тонн, 14850000 рублей
Горчица, Перу, 5 тонн, 500000 рублей
Лимон, Германия, 15 тонн, 1000000 рублей
Суповой набор куриный, США, 10 тонн, 1000000 рублей
Картофель, Австралия, 5 тонн, 1000000 рублей
Кефир, Аргентина, 2 тонны, 1250000 рублей
зерно, США, 30 тонн, 1250000 рублей
Баллончик со сливками, Аргентина, 30 тонн, 500000 рублей
Курица (бедра или окорочка), Перу, 15 тонн, 500000 рублей
Масло сливочное, Аргентина, 50 тонн, 1000000 рублей
Творог, Перу, 20 тонн, 1250000 рублей
Чеснок, Австрия, 2 тонны, 1000000 рублей
Малиновое варенье, Аргентина, 30 тонн, 1000000 рублей
Масло растительное, Венгрия, 15 тонн, 500000 рублей
Фрикадельки (домашний полуфабрикат), Австралия, 50 тонн, 12340000 рублей
рыба, Австрия, 15 тонн, 500000 рублей
хлеб, Венгрия, 15 тонн, 7050000 рублей
Рыбная консерва, Германия, 2 тонны, 1250000 рублей
Рыбная консерва, Венгрия, 30 тонн, 14850000 рублей
Детское питание 7 банок, Германия, 2 тонны, 1000000 рублей
хлеб, Австрия, 1 тонна, 14850000 рублей
Сгущенка, Аргентина, 10 тонн, 1250000 рублей
Лимон, Перу, 10 тонн, 14850000 рублей
Детское питание 7 банок, Аргентина, 30 тонн, 12340000 рублей
Молоко детское, Китай, 10 тонн, 1000000 рублей
Чеснок, Австралия, 1 тонна, 500000 рублей
Петрушка, Китай, 1 тонна, 7050000 рублей
Сметана, Австралия, 5 тонн, 7050000 рублей
шоколад, Венгрия, 2 тонны, 14850000 рублей
Молоко детское, Китай, 1 тонна, 14850000 рублей
Котлеты (домашний полуфабрикат), Германия, 20 тонн, 1000000 рублей
Малиновое варенье, Перу, 1 тонна, 500000 рублей
Масло сливочное, Германия, 20 тонн, 14850000 рублей
Сметана, Венгрия, 30 тонн, 14850000 рублей
Детское питание 7 банок, Аргентина, 1 тонна, 1000000 рублей
груши, Аргентина, 15 тонн, 7050000 рублей
Картофель, Австралия, 5 тонн, 1250000 рублей
Петрушка, Китай, 20 тонн, 1000000 рублей
Творог, Перу, 5 тонн, 14850000 рублей
Курица (бедра или окорочка), США, 30 тонн, 1000000 рублей
Панировочные сухари, Китай, 50 тонн, 12340000 рублей
Творог, США, 50 тонн, 14850000 рублей
Фрикадельки (домашний полуфабрикат), Аргентина, 50 тонн, 7050000 рублей
зерно, Аргентина, 20 тонн, 7050000 рублей
Малиновое варенье, Австралия, 1 тонна, 500000 рублей
Петрушка, Венгрия, 20 тонн, 500000 рублей
Картофель, Перу, 20 тонн, 1000000 рублей
Морковь, Аргентина, 20 тонн, 1250000 рублей
масло, Австралия, 20 тонн, 1000000 рублей
Консервированный горошек, США, 1 тонна, 1000000 рублей
Баллончик со сливками, Венгрия, 5 тонн, 12340000 рублей
Суповой набор куриный, Китай, 30 тонн, 1250000 рублей
Сгущенка, Германия, 50 тонн, 12340000 рублей
Баллончик со сливками, Китай, 30 тонн, 12340000 рублей
Курица (бедра или окорочка), Австралия, 2 тонны, 14850000 рублей
Петрушка, Венгрия, 50 тонн, 14850000 рублей
Сахар коричневый, Австралия, 5 тонн, 7050000 рублей
Баллончик со сливками, Австралия, 1 тонна, 7050000 рублей
Детское питание 7 банок, Венгрия, 15 тонн, 500000 рублей
Масло растительное, Перу, 15 тонн, 500000 рублей
Котлеты (домашний полуфабрикат), Австралия, 1 тонна, 1000000 рублей
Котлеты (домашний полуфабрикат), Перу, 20 тонн, 12340000 рублей
Консервированная кукуруза, США, 1 тонна, 12340000 рублей
Сгущенка, Германия, 5 тонн, 12340000 рублей
Сметана, Перу, 30 тонн, 1250000 рублей
Петрушка, США, 5 тонн, 1250000 рублей
Творог, Перу, 15 тонн, 12340000 рублей
Суповой набор мясной, Аргентина, 15 тонн, 12340000 рублей
Кошачий корм, Австралия, 10 тонн, 7050000 рублей
Консервированная кукуруза, Китай, 2 тонны, 14850000 рублей
Масло растительное, США, 15 тонн, 1250000 рублей
Малиновое варенье, Австрия, 2 тонны, 1000000 рублей
Баллончик со сливками, Австралия, 5 тонн, 1250000 рублей
Котлеты (домашний полуфабрикат), Венгрия, 10 тонн, 12340000 рублей
Масло растительное, Германия, 5 тонн, 1000000 рублей
Суповой набор мясной, Венгрия, 5 тонн, 14850000 рублей
яблоки, Австралия, 2 тонны, 7050000 рублей
Консервированный горошек, Германия, 2 тонны, 14850000 рублей
Панировочные сухари, Австралия, 1 тонна, 14850000 рублей
Баллончик со сливками, Венгрия, 1 тонна, 14850000 рублей
Суповой набор куриный, Венгрия, 50 тонн, 14850000 рублей
Консервированная кукуруза, Германия, 2 тонны, 7050000 рублей
Молоко детское, Австрия, 5 тонн, 14850000 рублей
Масло сливочное, США, 30 тонн, 12340000 рублей
Петрушка, Венгрия, 20 тонн, 1000000 рублей
Суповой набор куриный, Перу, 1 тонна, 1000000 рублей
шоколад, США, 10 тонн, 500000 рублей
рыба, Венгрия, 5 тонн, 7050000 рублей
Баллончик со сливками, Перу, 20 тонн, 1250000 рублей
Суповой набор мясной, Австралия, 5 тонн, 1250000 рублей
Сахар коричневый, Китай, 50 тонн, 1250000 рублей
Петрушка, Перу, 1 тонна, 500000 рублей
яблоки, Австрия, 10 тонн, 7050000 рублей
Томатная паста, Австрия, 5 тонн, 7050000 рублей
яблоки, Германия, 5 тонн, 1000000 рублей
Панировочные сухари, Китай, 50 тонн, 500000 рублей
рыба, США, 30 тонн, 14850000 рублей
Масло сливочное, Австралия, 20 тонн, 7050000 рублей
Сыр, Австралия, 1 тонна, 12340000 рублей
хлеб, Китай, 50 тонн, 500000 рублей
Котлеты (домашний полуфабрикат), Аргентина, 15 тонн, 1000000 рублей
Суповой набор куриный, Аргентина, 20 тонн, 7050000 рублей
хлеб, Аргентина, 15 тонн, 500000 рублей
рыба, Германия, 50 тонн, 14850000 рублей
Масло растительное, Аргентина, 2 тонны, 7050000 рублей
Стручковая фасоль, Аргентина, 5 тонн, 1250000 рублей
Горчица, Австралия, 1 тонна, 1250000 рублей
яблоки, Перу, 10 тонн, 14850000 рублей
Петрушка, Австралия, 10 тонн, 7050000 рублей
Масло сливочное, Австралия, 30 тонн, 14850000 рублей
Консервированная кукуруза, Китай, 15 тонн, 500000 рублей
Суповой набор мясной, Перу, 15 тонн, 1000000 рублей
шоколад, Германия, 1 тонна, 1250000 рублей
Чеснок, Перу, 5 тонн, 14850000 рублей
Фрикадельки (домашний полуфабрикат), Аргентина, 15 тонн, 12340000 рублей
масло, Австралия, 2 тонны, 1000000 рублей
Лимон, Венгрия, 1 тонна, 12340000 рублей
Чеснок, Венгрия, 5 тонн, 500000 рублей
Стручковая фасоль, Австралия, 30 тонн, 7050000 рублей
масло, Венгрия, 2 тонны, 1000000 рублей
Лимон, Венгрия, 50 тонн, 7050000 рублей
Творог, Германия, 50 тонн, 1000000 рублей
Суповой набор мясной, Китай, 50 тонн, 500000 рублей
Горчица, Перу, 15 тонн, 1000000 рублей
Картофель, Китай, 10 тонн, 7050000 рублей
груши, Австралия, 15 тонн, 12340000 рублей
Морковь, Китай, 1 тонна, 1000000 рублей
Масло сливочное, Германия, 15 тонн, 1000000 рублей
Панировочные сухари, Венгрия, 5 тонн, 12340000 рублей
Суповой набор мясной, Аргентина, 15 тонн, 7050000 рублей
Морковь, Австралия, 30 тонн, 1250000 рублей
Картофель, Китай, 30 тонн, 7050000 рублей
яблоки, Китай, 2 тонны, 1000000 рублей
Курица (бедра или окорочка), США, 5 тонн, 7050000 рублей
Морковь, Перу, 2 тонны, 12340000 рублей
шоколад, Китай, 2 тонны, 1000000 рублей
шоколад, Китай, 30 тонн, 1250000 рублей
Масло растительное, Германия, 5 тонн, 14850000 рублей
Рыбная консерва, Аргентина, 10 тонн, 14850000 рублей
Молоко детское, Австрия, 15 тонн, 14850000 рублей
рыба, Австрия, 15 тонн, 14850000 рублей
Чеснок, Австрия, 20 тонн, 1000000 рублей
Молоко детское, США, 30 тонн, 7050000 рублей
хлеб, Австрия, 1 тонна, 7050000 рублей
Морковь, США, 30 тонн, 7050000 рублей
Фрикадельки (домашний полуфабрикат), Австралия, 2 тонны, 7050000 рублей
Детское питание 7 банок, Аргентина, 15 тонн, 1250000 рублей
Консервированный горошек, Германия, 10 тонн, 1000000 рублей
Малиновое варенье, Перу, 30 тонн, 12340000 рублей
Картофель, Австралия, 15 тонн, 12340000 рублей
Курица (бедра или окорочка), США, 50 тонн, 500000 рублей
Петрушка, Венгрия, 5 тонн, 1250000 рублей
Картофель, Аргентина, 2 тонны, 7050000 рублей
Консервированная кукуруза, Китай, 15 тонн, 500000 рублей
Фрикадельки (домашний полуфабрикат), Перу, 1 тонна, 1250000 рублей
Лимон, Аргентина, 5 тонн, 12340000 рублей
Консервированная кукуруза, США, 30 тонн, 500000 рублей
Масло сливочное, Германия, 50 тонн, 14850000 рублей
Консервированная кукуруза, Перу, 1 тонна, 1000000 рублей
Сгущенка, Венгрия, 30 тонн, 12340000 рублей
Картофель, Германия, 30 тонн, 1250000 рублей
зерно, Перу, 20 тонн, 14850000 рублей
Томатная паста, Германия, 30 тонн, 1250000 рублей
Суповой набор куриный, Китай, 1 тонна, 14850000 рублей
зерно, Австралия, 5 тонн, 1250000 рублей
Лимон, США, 50 тонн, 12340000 рублей
Детское питание 7 банок, США, 5 тонн, 500000 рублей
Курица (бедра или окорочка), Венгрия, 30 тонн, 1250000 рублей
Петрушка, США, 30 тонн, 14850000 рублей
Сметана, Аргентина, 50 тонн, 7050000 рублей
Масло растительное, Австрия, 5 тонн, 14850000 рублей
хлеб, Перу, 20 тонн, 1250000 рублей
Масло растительное, Перу, 20 тонн, 12340000 рублей
Петрушка, Аргентина, 1 тонна, 1250000 рублей
Сахар коричневый, Китай, 50 тонн, 500000 рублей
Рыбная консерва, Аргентина, 2 тонны, 12340000 рублей
Кефир, США, 5 тонн, 12340000 рублей
Суповой набор мясной, США, 1 тонна, 500000 рублей
Консервированная кукуруза, Германия, 1 тонна, 12340000 рублей
масло, Аргентина, 10 тонн, 1250000 рублей
Лимон, Аргентина, 5 тонн, 1250000 рублей
Суповой набор куриный, Венгрия, 5 тонн, 7050000 рублей
Сгущенка, США, 1 тонна, 12340000 рублей
Панировочные сухари, Австралия, 15 тонн, 12340000 рублей
зерно, Китай, 2 тонны, 7050000 рублей
Молоко детское, Австрия, 50 тонн, 12340000 рублей
груши, Венгрия, 20 тонн, 12340000 рублей
Баллончик со сливками, США, 20 тонн, 12340000 рублей
Сахар коричневый, Германия, 50 тонн, 7050000 рублей
яблоки, Германия, 5 тонн, 12340000 рублей
Картофель, Германия, 5 тонн, 12340000 рублей
Консервированный горошек, Перу, 15 тонн, 14850000 рублей
Суповой набор мясной, Китай, 30 тонн, 1000000 рублей
Консервированный горошек, Аргентина, 30 тонн, 12340000 рублей
Сыр, Германия, 10 тонн, 14850000 рублей
Лимон, Аргентина, 20 тонн, 7050000 рублей
Суповой набор куриный, Аргентина, 50 тонн, 1250000 рублей
Малиновое варенье, Австрия, 20 тонн, 500000 рублей
Курица (бедра или окорочка), США, 15 тонн, 1250000 рублей
рыба, Китай, 10 тонн, 12340000 рублей
Суповой набор куриный, Венгрия, 1 тонна, 7050000 рублей
масло, Перу, 10 тонн, 1000000 рублей
зерно, Венгрия, 20 тонн, 500000 рублей
Кефир, Венгрия, 30 тонн, 500000 рублей
Детское питание 7 банок, Аргентина, 50 тонн, 14850000 рублей
шоколад, Перу, 5 тонн, 14850000 рублей
Лимон, Венгрия, 50 тонн, 1000000 рублей
Стручковая фасоль, Китай, 5 тонн, 1000000 рублей
Малиновое варенье, Германия, 1 тонна, 12340000 рублей
Детское питание 7 банок, США, 20 тонн, 500000 рублей
масло, США, 20 тонн, 1000000 рублей
Сметана, США, 15 тонн, 12340000 рублей
Молоко детское, Австралия, 30 тонн, 14850000 рублей
Кошачий корм, Австрия, 30 тонн, 14850000 рублей
Курица (бедра или окорочка), Австрия, 1 тонна, 14850000 рублей
Детское питание 7 банок, Перу, 20 тонн, 12340000 рублей
Консервированная кукуруза, Китай, 30 тонн, 1250000 рублей
Стручковая фасоль, Китай, 50 тонн, 1000000 рублей
Масло растительное, Перу, 10 тонн, 12340000 рублей
Сметана, США, 5 тонн, 12340000 рублей
масло, Австралия, 5 тонн, 1250000 рублей
Курица (бедра или окорочка), Перу, 50 тонн, 1250000 рублей
Творог, Перу, 15 тонн, 1250000 рублей
Кошачий корм, Австрия, 50 тонн, 500000 рублей
Горчица, Китай, 15 тонн, 12340000 рублей
Томатная паста, Перу, 20 тонн, 1250000 рублей
Кефир, Перу, 30 тонн, 1250000 рублей
Сахар коричневый, Перу, 20 тонн, 12340000 рублей
Суповой набор куриный, Перу, 5 тонн, 1000000 рублей
Суповой набор мясной, США, 50 тонн, 1250000 рублей
Петрушка, США, 5 тонн, 14850000 рублей
зерно, США, 30 тонн, 1250000 рублей
Детское питание 7 банок, Китай, 1 тонна, 1250000 рублей
Масло растительное, Китай, 5 тонн, 500000 рублей
Рыбная консерва, Австрия, 20 тонн, 7050000 рублей
груши, Австралия, 5 тонн, 14850000 рублей
Малиновое варенье, Аргентина, 50 тонн, 12340000 рублей
Рыбная консерва, Австрия, 2 тонны, 7050000 рублей
Петрушка, Германия, 50 тонн, 500000 рублей
Котлеты (домашний полуфабрикат), Аргентина, 10 тонн, 1000000 рублей
Котлеты (домашний полуфабрикат), Венгрия, 15 тонн, 1250000 рублей
Консервированная кукуруза, Перу, 5 тонн, 7050000 рублей
Молоко детское, Австралия, 1 тонна, 500000 рублей
Творог, Австралия, 50 тонн, 7050000 рублей
Горчица, Китай, 30 тонн, 1000000 рублей
шоколад, Перу, 10 тонн, 14850000 рублей
Масло растительное, Австрия, 20 тонн, 7050000 рублей
Котлеты (домашний полуфабрикат), Австрия, 30 тонн, 12340000 рублей
Сахар коричневый, США, 15 тонн, 7050000 рублей
Кефир, Перу, 30 тонн, 7050000 рублей
Панировочные сухари, Венгрия, 50 тонн, 7050000 рублей
Курица (бедра или окорочка), Австралия, 50 тонн, 1000000 рублей
Горчица, США, 1 тонна, 14850000 рублей
Сметана, Китай, 1 тонна, 7050000 рублей
Масло растительное, Австралия, 2 тонны, 1250000 рублей
Детское питание 7 банок, США, 20 тонн, 12340000 рублей
Кошачий корм, Аргентина, 1 тонна, 12340000 рублей
шоколад, Аргентина, 10 тонн, 1250000 рублей
Кефир, Венгрия, 50 тонн, 1250000 рублей
Масло растительное, Австрия, 15 тонн, 1250000 рублей
Масло сливочное, Венгрия, 15 тонн, 1000000 рублей
Петрушка, Аргентина, 1 тонна, 500000 рублей
Творог, Перу, 10 тонн, 12340000 рублей
Петрушка, Австрия, 10 тонн, 1000000 рублей
Панировочные сухари, Германия, 2 тонны, 1000000 рублей
Молоко детское, Венгрия, 10 тонн, 7050000 рублей
Сгущенка, Венгрия, 15 тонн, 500000 рублей
Детское питание 7 банок, Перу, 50 тонн, 500000 рублей
шоколад, Аргентина, 5 тонн, 500000 рублей
Баллончик со сливками, Австралия, 5 тонн, 14850000 рублей
Петрушка, Германия, 5 тонн, 500000 рублей
Морковь, Австрия, 5 тонн, 7050000 рублей
Консервированный горошек, Австрия, 5 тонн, 1000000 рублей
яблоки, Венгрия, 30 тонн, 12340000 рублей
Фрикадельки (домашний полуфабрикат), Австралия, 1 тонна, 14850000 рублей
Творог, США, 5 тонн, 500000 рублей
Кефир, Венгрия, 10 тонн, 7050000 рублей
груши, Германия, 2 тонны, 12340000 рублей
Панировочные сухари, Китай, 15 тонн, 12340000 рублей
Кошачий корм, Перу, 2 тонны, 7050000 рублей
Томатная паста, Германия, 2 тонны, 14850000 рублей
Котлеты (домашний полуфабрикат), Перу, 10 тонн, 7050000 рублей
Лимон, Германия, 15 тонн, 12340000 рублей
Петрушка, Венгрия, 1 тонна, 14850000 рублей
Суповой набор куриный, США, 20 тонн, 14850000 рублей
Курица (бедра или окорочка), Австралия, 50 тонн, 14850000 рублей
Консервированный горошек, Китай, 15 тонн, 7050000 рублей
Чеснок, Аргентина, 1 тонна, 7050000 рублей
Кошачий корм, Аргентина, 15 тонн, 1000000 рублей
Картофель, Австрия, 10 тонн, 500000 рублей
Лимон, Венгрия, 15 тонн, 1250000 рублей
Консервированная кукуруза, Венгрия, 50 тонн, 12340000 рублей
Петрушка, Китай, 10 тонн, 14850000 рублей
Морковь, Австрия, 50 тонн, 500000 рублей
Рыбная консерва, Перу, 20 тонн, 500000 рублей
Панировочные сухари, Китай, 15 тонн, 14850000 рублей
Котлеты (домашний полуфабрикат), Австрия, 1 тонна, 12340000 рублей
зерно, США, 10 тонн, 14850000 рублей
Чеснок, Перу, 1 тонна, 1250000 рублей
груши, США, 1 тонна, 12340000 рублей
Сгущенка, Австралия, 50 тонн, 500000 рублей
Консервированная кукуруза, Австрия, 15 тонн, 1250000 рублей
Консервированная кукуруза, Австралия, 30 тонн, 7050000 рублей
Молоко детское, США, 20 тонн, 1000000 рублей
Чеснок, Аргентина, 5 тонн, 500000 рублей
Сметана, Аргентина, 15 тонн, 1250000 рублей
Курица (бедра или окорочка), Австрия, 30 тонн, 7050000 рублей
Сметана, США, 10 тонн, 14850000 рублей
Баллончик со сливками, Австралия, 2 тонны, 1000000 рублей
Курица (бедра или окорочка), Китай, 10 тонн, 12340000 рублей
хлеб, Китай, 15 тонн, 12340000 рублей
Сметана, Китай, 20 тонн, 1250000 рублей
Котлеты (домашний полуфабрикат), Венгрия, 30 тонн, 500000 рублей
Детское питание 7 банок, США, 5 тонн, 7050000 рублей
груши, Китай, 30 тонн, 500000 рублей
Лимон, Китай, 2 тонны, 12340000 рублей
Чеснок, Австрия, 30 тонн, 14850000 рублей
Кефир, Перу, 30 тонн, 1250000 рублей
Суповой набор мясной, Китай, 2 тонны, 1000000 рублей
рыба, Перу, 15 тонн, 1000000 рублей
Творог, Перу, 2 тонны, 12340000 рублей
Морковь, Австрия, 10 тонн, 12340000 рублей
Кефир, США, 2 тонны, 1000000 рублей
рыба, Аргентина, 20 тонн, 14850000 рублей
Суповой набор мясной, Австралия, 2 тонны, 14850000 рублей
груши, Германия, 30 тонн, 1250000 рублей
Сыр, Китай, 50 тонн, 14850000 рублей
Кошачий корм, США, 10 тонн, 1250000 рублей
груши, Германия, 1 тонна, 12340000 рублей
Кошачий корм, Аргентина, 2 тонны, 12340000 рублей
зерно, Китай, 30 тонн, 1000000 рублей
Суповой набор куриный, Германия, 30 тонн, 1000000 рублей
Курица (бедра или окорочка), Перу, 5 тонн, 14850000 рублей
Детское питание 7 банок, Венгрия, 10 тонн, 14850000 рублей
Петрушка, Китай, 5 тонн, 500000 рублей
Кошачий корм, Венгрия, 15 тонн, 1000000 рублей
Петрушка, Китай, 50 тонн, 1250000 рублей
